FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,iso2,iso3,code3,Population
01001,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",US,USA,840,55869
01003,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",US,USA,840,223234
01005,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",US,USA,840,24686
01007,Bibb,Alabama,US,32.99642064,-87.1251146,"Bibb, Alabama, US",US,USA,840,22394
01009,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",US,USA,840,57826
01011,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",US,USA,840,10101
01013,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",US,USA,840,19448
01015,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",US,USA,840,113605
01017,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",US,USA,840,33254
01019,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",US,USA,840,26196
01021,Chilton,Alabama,US,32.85044126,-86.7173256,"Chilton, Alabama, US",US,USA,840,44428
01023,Choctaw,Alabama,US,32.02227341,-88.2656443,"Choctaw, Alabama, US",US,USA,840,12589
01025,Clarke,Alabama,US,31.68099859,-87.83548597,"Clarke, Alabama, US",US,USA,840,23622
01027,Clay,Alabama,US,33.26984193,-85.85836077,"Clay, Alabama, US",US,USA,840,13235
01029,Cleburne,Alabama,US,33.67679204,-85.52005899,"Cleburne, Alabama, US",US,USA,840,14910
01031,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",US,USA,840,52342
01033,Colbert,Alabama,US,34.69847452,-87.80168544,"Colbert, Alabama, US",US,USA,840,55241
01035,Conecuh,Alabama,US,31.43401703,-86.99320044,"Conecuh, Alabama, US",US,USA,840,12067
01037,Coosa,Alabama,US,32.93690146,-86.24847739,"Coosa, Alabama, US",US,USA,840,10663
01039,Covington,Alabama,US,31.2477854,-86.45050893,"Covington, Alabama, US",US,USA,840,37049
01041,Crenshaw,Alabama,US,31.72941803,-86.31593104,"Crenshaw, Alabama, US",US,USA,840,13772
01043,Cullman,Alabama,US,34.13020303,-86.86888037,"Cullman, Alabama, US",US,USA,840,83768
