"","model","smooth","type","by","est","se","Relative_completed_primary_series_rate_lag2","Relative_full_service_restaurant_lag2","Relative_Government_Response_Index_lag2","Relative_gym_lag2","Relative_office_of_physician_lag2","Relative_Past_12_week_infections_lag4","Relative_university_lag2","Relative_Weekly_testing_lag2"
"1","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.189285602543044,0.0436424735028457,0.686621073346457,NA,NA,NA,NA,NA,NA,NA
"2","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.185224900525062,0.0427927832573946,0.693302120842375,NA,NA,NA,NA,NA,NA,NA
"3","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.181164198430037,0.0419448817837156,0.699983168338293,NA,NA,NA,NA,NA,NA,NA
"4","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.177103496104333,0.041098879948807,0.706664215834212,NA,NA,NA,NA,NA,NA,NA
"5","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.173042793344859,0.0402548977038131,0.71334526333013,NA,NA,NA,NA,NA,NA,NA
"6","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.168982089928578,0.0394130649567073,0.720026310826048,NA,NA,NA,NA,NA,NA,NA
"7","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.164921385608575,0.0385735225902542,0.726707358321966,NA,NA,NA,NA,NA,NA,NA
"8","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.160860680118449,0.0377364235928273,0.733388405817884,NA,NA,NA,NA,NA,NA,NA
"9","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.156799973158236,0.0369019343455461,0.740069453313802,NA,NA,NA,NA,NA,NA,NA
"10","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.152739264380191,0.036070236063873,0.746750500809721,NA,NA,NA,NA,NA,NA,NA
