,V1
1,0.133847953924739
2,0.124659279379486
3,0.115545465378276
4,0.106509137179674
5,0.0975500869101405
6,0.0886652063076122
7,0.0798492218939527
8,0.0710955053337652
9,0.0623966342030573
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,0.00238114223128733
17,-0.00615588427017308
18,-0.0147029289495205
19,-0.0232650558531832
20,-0.0318466880515817
21,-0.040451530018274
22,-0.0490824445064261
23,-0.0577411918725366
24,-0.0664296544053233
25,-0.0751548252567691
26,-0.0839224160171301
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,0.135849966228052
42,0.126676096287482
43,0.117590699100528
44,0.108601337428075
45,0.0997084055740546
46,0.0909038927027006
47,0.0821785397765797
48,0.0735224234765338
49,0.0649254070134562
50,0.0563773323624876
51,NA
52,NA
53,NA
54,NA
55,0.01403197462521
56,0.00558058321829401
57,-0.00288248322284134
58,-0.0113633700332496
59,-0.0198674753289185
60,-0.0283993847622171
61,-0.0369627534094491
62,-0.0455601193088504
63,-0.0541929309454595
64,-0.0628652600999753
65,-0.0715831822896015
66,-0.0803521052730616
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,0.138532817308852
82,0.129370898481365
83,0.120309616320318
84,0.111372852183523
85,0.102553678338652
86,0.0938352950761442
87,0.0852041334740955
88,0.0766478650710529
89,0.0681543023569495
90,0.0597110424709271
91,0.0513057438282628
92,NA
93,NA
94,0.0262028758144195
95,0.0178389658798029
96,0.00946230186152334
97,0.00106551933706809
98,-0.00735789165570464
99,-0.0158136375862608
100,-0.0243066167237407
101,-0.0328408747705143
102,-0.0414195186214588
103,-0.0500448858288649
104,-0.0587214509619612
105,-0.0674544102550721
106,-0.0762483464800021
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,0.142091477637841
122,0.132979716690631
123,0.123965179494909
124,0.115069083927211
125,0.106301646305657
126,0.0976447440556078
127,0.089083920574326
128,0.0806093424993508
129,0.0722061646057341
130,0.0638568547314435
131,0.055544817561727
132,0.0472552044777823
133,0.0389748283819377
134,0.0306919757630536
135,0.022396296765683
136,0.0140787734308718
137,0.00573172831642407
138,-0.00265147944687489
139,-0.0110770693893678
140,-0.0195505439587296
141,-0.0280765977129753
142,-0.036659272724937
143,-0.0453017067104941
144,-0.0540073099572777
145,-0.0627808319660077
146,-0.0716262710088527
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,0.146557889902375
162,0.137541638846385
163,0.12861215101185
164,0.119781509084917
165,0.111056781371826
166,0.102437811252205
167,0.0939214742695569
168,0.085505213583409
169,0.0771709790233106
170,0.0688937891817308
171,0.0606529439970732
172,0.0524309294781541
173,0.0442125178802965
174,0.0359844156909622
175,0.0277350213949053
176,0.019454263896219
177,0.0111335779256561
178,0.00276562136132826
179,-0.00565641518110519
180,-0.0141379115903848
181,-0.0226837663408953
182,-0.0312992827049998
183,-0.0399882394395733
184,-0.0487533778397484
185,-0.0575983717934989
186,-0.066526481365938
187,-0.0755400589984163
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,0.151794930978207
202,0.142898574399731
203,0.134076119798345
204,0.125335375460284
205,0.116683144389078
206,0.10812693434955
207,0.0996756226389286
208,0.0913207524183671
209,0.083041396681591
210,0.0748151094790453
211,0.0666217972531281
212,0.0584421237008357
213,0.0502592350916521
214,0.0420590124667557
215,0.0338292359488456
216,0.0255588277342491
217,0.0172376553820312
218,0.0088567581470803
219,0.000408559653193126
220,-0.00811309552621645
221,-0.0167134354679585
