,V1
1,0.0711453638219953
2,0.0618594160322369
3,0.0526520241577293
4,0.0435262191674328
5,0.0344820413553951
6,0.0255164216341358
7,0.0166239440021242
8,0.00779771546898919
9,-0.000970023136714767
10,NA
11,NA
12,NA
13,NA
14,NA
15,-0.0528109525731744
16,-0.061397671123906
17,-0.0699881497656022
18,-0.078588425053394
19,-0.0872039532940357
20,-0.0958395515953298
21,-0.104499303944555
22,-0.113186390388498
23,-0.121902728637014
24,-0.1306503666471
25,-0.139436600849565
26,-0.14826752881361
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,0.0776251455594629
42,0.0683536669183089
43,0.0591741648780281
44,0.0500948636271376
45,0.0411167889731984
46,0.0322320074807891
47,0.0234310101898705
48,0.0147034980782985
49,0.00603891830117143
50,-0.00257331337807309
51,NA
52,NA
53,NA
54,-0.0367027156345781
55,-0.0452022734612058
56,-0.053705474283524
57,-0.0622195485200614
58,-0.0707510506931773
59,-0.0793058321326971
60,-0.0878889699099414
61,-0.0965046314084384
62,-0.105155858085284
63,-0.113844459599912
64,-0.122573856457441
65,-0.131350615760786
66,-0.140180816626946
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,0.0847765337173179
82,0.075517259100303
83,0.0663613366181114
84,0.0573336170402072
85,0.0484292686754011
86,0.0396313879463475
87,0.0309255410342595
88,0.0222989348015779
89,0.0137389842345487
90,0.00523281880852916
91,-0.00323233894441862
92,NA
93,NA
94,-0.0284998682869025
95,-0.0369146640968228
96,-0.0453406883812275
97,-0.0537856302987723
98,-0.0622564275873311
99,-0.0707593426217248
100,-0.0792999046875671
101,-0.087882806011254
102,-0.0965118115639272
103,-0.105189742451667
104,-0.113920304560913
105,-0.122709272283939
106,-0.131562000616975
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,0.0927843946928512
122,0.0835763062667974
123,0.0744684213141186
124,0.0654836209557732
125,0.0566325010581379
126,0.0478974671564031
127,0.0392628338079853
128,0.0307186139730928
129,0.0222499461076169
130,0.0138386227163783
131,0.00546777325377257
132,-0.00287757723363887
133,-0.0112107918210388
134,-0.0195438437089181
135,-0.0278874127920737
136,-0.0362508681906397
137,-0.0446420508497357
138,-0.053067893540038
139,-0.0615356986020995
140,-0.0700516570688016
141,-0.0786212626334276
142,-0.0872492482012548
143,-0.0959392206908914
144,-0.104694809559909
145,-0.113521044469996
146,-0.122422576805366
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,0.101679672931549
162,0.0925678994324224
163,0.0835466492232405
164,0.0746290010467009
165,0.065822826646792
166,0.0571275824427756
167,0.0485393991714346
168,0.0400554449686008
169,0.0316563438385989
170,0.0233179136754018
171,0.0150199772957252
172,0.00674500426067659
173,-0.00152241733366884
174,-0.00979588776552733
175,-0.0180874195532899
176,-0.0264075887741542
177,-0.0347656531090931
178,-0.0431698480684336
179,-0.0516273993883477
180,-0.0601445016939576
181,-0.0687277536184122
182,-0.0773828519185569
183,-0.0861137987079597
184,-0.0949241717457454
185,-0.103818166556727
186,-0.112799400179031
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,0.11133614576505
202,0.102344395729762
203,0.093430573639845
204,0.084602911770034
205,0.0758684245972722
206,0.0672347276148972
207,0.0587103559758703
208,0.0502874580437255
209,0.0419456703971637
210,0.0336623369339148
211,0.0254168926417747
212,0.0171902176853088
213,0.00896533341646881
214,0.000727609807412884
215,-0.00753578397380631
216,-0.0158366580046016
217,-0.0241860487411474
218,-0.032593889742809
219,-0.0410687603829549
220,-0.0496180178927945
221,-0.0582481303099456
222,-0.0669643790815305
223,-0.0757707696664904
224,-0.0846705926637193
225,-0.0936668758980719
226,-0.102761981758094
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,0.121606562478194
242,0.112759593989291
243,0.103981225270907
244,0.095279955492779
245,0.0866610690781057
246,0.0781269182993207
247,0.0696809469274066
248,0.0613218375287486
249,0.0530332103385818
250,0.0447940009645359
251,0.036586035295694
252,0.0283887852670444
253,0.0201830611943216
254,0.0119542388969048
255,0.00369190370602721
256,-0.0046161480962596
257,-0.0129856534749284
258,-0.0214284802027931
259,-0.0299543701433323
260,-0.0385708948464587
261,-0.0472838794522789
262,-0.0560978115289366
263,-0.0650160923957853
264,-0.0740412359982674
265,-0.0831750069372013
266,-0.0924184849403349
267,-0.101772095768406
268,-0.111235648317763
269,-0.120808385613953
270,-0.130489043902227
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,0.132328118758851
282,0.123657021414645
283,0.115048246476387
284,0.106506952795122
285,0.0980337918211839
286,0.0896273976827354
287,0.0812861025938669
288,0.0730042946183186
289,0.0647710865713746
290,0.0565731598983633
291,0.0483946985289953
292,0.0402135668431267
293,0.032010177336155
294,0.0237700706272987
295,0.0154825666522311
296,0.00713243432251552
297,-0.00129568150207655
298,-0.00981380666532734
299,-0.0184310058279479
300,-0.0271540918848298
301,-0.0359881526050112
302,-0.0449368996034454
303,-0.054002905318963
304,-0.0631877713456817
305,-0.0724922545818974
306,-0.0819163657991155
307,-0.0914594495950597
308,-0.101120252641517
309,-0.11089698654526
310,-0.120787391269211
311,-0.130788802418029
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,0.143278412882818
322,0.134802850110904
323,0.126381612776503
324,0.118015095321757
325,0.109700474341577
326,0.101433834928621
327,0.0932104395042134
328,0.0850242420484718
329,0.0768650056238206
330,0.068720105071453
331,0.0605721439002772
332,0.0524023342806153
333,0.0441927915646363
334,0.0359271802979673
335,0.0275902429710093
336,0.0191678865218589
337,0.0106477557187639
338,0.00201985424829779
339,-0.00672290402888102
340,-0.0155859285637794
341,-0.0245733403488867
342,-0.033688068004372
343,-0.0429319119207169
344,-0.0523056243388649
345,-0.0618090172033533
346,-0.0714410889844591
347,-0.0812001491089657
348,-0.0910839147810249
349,-0.101089567852783
350,-0.111213803646864
351,-0.121452921445219
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,0.154175602908007
362,0.145894406770276
363,0.137658088248337
364,0.129464347009007
365,0.121308578748512
366,0.113184913579851
367,0.105086015735358
368,0.0970026399850015
369,0.088922935584223
370,0.0808325795945746
371,0.0727154801771176
372,0.0645548276708045
373,0.0563334057020411
374,0.0480333086628203
375,0.0396368306546841
376,0.0311303570833015
377,0.0225042803360861
378,0.0137510557248337
379,0.00486628190197134
380,-0.00415365379303071
381,-0.0133119215779827
382,-0.0226107647637135
383,-0.0320512011929612
384,-0.0416329554945003
385,-0.0513546044238041
386,-0.0612138263592977
387,-0.0712076529684176
388,-0.0813327107348688
389,-0.091585305101709
390,-0.101960876073445
391,-0.112454402118512
392,-0.123060848158491
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,0.16471579531572
402,0.156613251884629
403,0.148545357961097
404,0.140507971338234
405,0.132495224618859
406,0.124499694551202
407,0.116512200518217
408,0.108521484387869
409,0.100514017606119
410,0.0924745168889994
411,0.0843866903394606
412,0.0762337616645078
413,0.0679997268431091
414,0.0596657231853832
415,0.0512099676095617
416,0.0426178531461347
417,0.0338860568574391
418,0.025010001622691
419,0.0159862670779812
420,0.00681185102928343
421,-0.00251658652849375
422,-0.012001477787089
423,-0.0216433947499545
424,-0.0314403182685536
425,-0.0413887154605663
426,-0.0514843487061766
427,-0.0617225600190034
428,-0.0720984252267456
429,-0.0826067324210449
430,-0.0932417761911346
431,-0.103997530717949
432,-0.114867932593884
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,0.17461963979322
442,0.166669141805275
443,0.15874307143533
444,0.150835816681075
445,0.142940230487896
446,0.135047526801606
447,0.127147181829325
448,0.11922681084487
449,0.11127200531069
450,0.103266409744914
451,0.0951934274456474
452,0.0870358372208811
453,0.0787778962789776
454,0.0704022064342869
455,0.0618892300250346
456,0.0532259714146743
457,0.044406434401719
458,0.0354231824304164
459,0.026274033501052
460,0.0169591857785497
461,0.00747599512472188
462,-0.00218016552802337
463,-0.0120130586853839
464,-0.0220177055877358
465,-0.0321875992656219
466,-0.042515905659573
467,-0.0529957976314395
468,-0.0636204523484208
469,-0.0743829494615454
470,-0.0852762400999173
471,-0.0962931882901106
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,NA
479,NA
480,NA
481,0.183651516741375
482,0.175820017190947
483,0.168003565438222
484,0.160195238557852
485,0.152386649935907
486,0.14456781761085
487,0.136727046503629
488,0.128850819132061
489,0.120923717050452
490,0.112928944274381
491,0.104849953460909
492,0.0966703621134913
493,0.0883743417106365
494,0.0799463435514964
495,0.0713711514124775
496,0.0626373735303061
497,0.053736224728139
498,0.0446582913987092
499,0.0354013657797367
500,0.0259646669535164
501,0.0163454077649822
502,0.0065381531091562
503,-0.00346188314759228
504,-0.0136526660326682
505,-0.0240246480627604
506,-0.0345681488844828
507,-0.0452743514123938
508,-0.0561344776834314
509,-0.067139640112161
510,-0.0782809671673965
511,-0.0895497230240952
512,-0.100937364806824
513,-0.112435563715242
514,NA
515,NA
516,NA
517,NA
518,NA
519,NA
520,NA
521,0.191622095903591
522,0.183873186732278
523,0.176131056180495
524,0.168387926097373
525,0.160634598613405
526,0.152860318523359
527,0.145052649929636
528,0.137197385142111
529,0.129278543790401
530,0.121278744797965
531,0.113179996222906
532,0.10496494836297
533,0.0966185186058396
534,0.0881266164541516
535,0.0794760944139533
536,0.0706581480480706
537,0.0616656323607845
538,0.0524925514469428
539,0.0431341968414632
540,0.0335866840131294
541,0.0238456775508191
542,0.0139051053656354
543,0.00375683487142911
544,-0.00659517604722078
545,-0.0171418993832339
546,-0.0278751224110146
547,-0.0387855423431442
548,-0.0498613362807044
549,-0.0610906216996798
550,-0.0724622838126802
551,-0.0839658470906822
552,-0.095591313459872
553,-0.107329047160671
554,-0.119169718663882
555,NA
556,NA
557,NA
558,NA
559,NA
560,NA
561,0.198383491015865
562,0.190678037637617
563,0.182972254834353
564,0.175258055696382
565,NA
566,0.159765385754158
567,0.151963648540888
568,0.144106669709681
569,0.136178394050335
570,0.128160717923513
571,0.120033380841074
572,0.111775082630048
573,0.10336954098083
574,0.0948042175991836
575,0.0860691232232889
576,0.0771578132846766
577,0.0680653686104657
578,0.0587870317383022
579,0.0493183958198985
580,0.0396552586784629
581,0.0297931081559835
582,0.0197266481083707
583,0.00944999880569017
584,-0.00104145088419323
585,-0.011742752748085
586,-0.0226440733683718
587,-0.0337357764208795
588,-0.0450028633848867
589,-0.0564312380433332
590,-0.0680083516303956
591,-0.0797225656184204
592,-0.091562726220096
593,-0.103517908464054
594,-0.115577353855645
595,-0.127730570350856
596,NA
597,NA
598,NA
599,NA
600,NA
601,NA
602,NA
603,NA
604,NA
605,NA
606,NA
607,0.157321602954367
608,0.149430940511557
609,0.141465178293544
610,0.133406768580065
611,0.125235114092593
612,0.116926074797309
613,0.108454871484965
614,0.0998082071317903
615,0.0909816516591557
616,0.0819728318857777
617,0.072777327488627
618,0.0633893382687134
619,0.0538045593994597
620,0.0440208384597276
