,V1
1,-0.0311891010057369
2,-0.0313954505887584
3,-0.0315410999146122
4,-0.0316236609162372
5,-0.0316430854520877
6,-0.0316017638875108
7,-0.0315039531847328
8,-0.0313551265075584
9,-0.0311615185446121
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,-0.02822963811698
20,-0.027967099132083
21,-0.027727945763487
22,-0.027514582827288
23,-0.0273283881919428
24,-0.0271707504669254
25,-0.0270468698025477
26,-0.0269610058865647
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,-0.028804950333493
42,-0.0290019801791833
43,-0.0291281369451121
44,-0.0291771285569682
45,-0.0291481187049874
46,-0.0290469597724228
47,-0.0288808014425405
48,-0.0286575393011047
49,-0.0283854869761069
50,-0.0280732117340564
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,-0.0251052317755953
59,-0.0247791721815148
60,-0.0244804672484209
61,-0.0242122842332113
62,-0.0239768271912678
63,-0.0237752353591214
64,-0.0236097443689845
65,-0.0234849383964478
66,-0.0234049368414832
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,-0.0259505130732195
82,-0.0261410145779883
83,-0.0262515979130538
84,-0.0262639857860258
85,-0.0261819384144543
86,-0.0260176009403778
87,-0.0257811177672708
88,-0.0254818710000809
89,-0.0251297960217056
90,-0.0247355453937685
91,-0.0243099291969157
92,NA
93,NA
94,NA
95,NA
96,-0.0220529474527267
97,-0.0216336110036134
98,-0.0212404929181524
99,-0.0208786150514781
100,-0.020552170402174
101,-0.0202645154854332
102,-0.0200181736366823
103,-0.0198148434662628
104,-0.0196568098852633
105,-0.0195479139827421
106,-0.0194915789741677
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,-0.0224913227939412
122,-0.0226487859728041
123,-0.0227282924666837
124,-0.0227122184263212
125,-0.0225936021328795
126,-0.0223845790746104
127,-0.0220951890031098
128,-0.0217319329956382
129,-0.0213077602809364
130,-0.0208384737788844
131,-0.0203383525644189
132,-0.0198201610950586
133,-0.0192953586365635
134,-0.0187742534486959
135,-0.0182660843391353
136,-0.0177790650949453
137,-0.0173204157541631
138,-0.0168963954958301
139,-0.0165123492359237
140,-0.0161727658716307
141,-0.0158813203085623
142,-0.0156408806965451
143,-0.0154535099606435
144,-0.015321244565229
145,-0.0152472334331434
146,-0.015234254917994
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,-0.0183932726694734
162,-0.0184837306540989
163,-0.0185043233803076
164,-0.0184437977260756
165,-0.0182949030044405
166,-0.0180581593504883
167,-0.0177356044193177
168,-0.0173253765002989
169,-0.0168460428007533
170,-0.0163193575226177
171,-0.0157623121151441
172,-0.0151897454132367
173,-0.0146148828705291
174,-0.0140494897682294
175,-0.0135039568397756
176,-0.0129873936478077
177,-0.0125077059292908
178,-0.0120716291315623
179,-0.0116847464037643
180,-0.0113517466483573
181,-0.0110767411284754
182,-0.0108629968273739
183,-0.010712834399997
184,-0.010628209059418
185,-0.0106114102100645
186,-0.0106642579767623
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,-0.0137371805513582
202,-0.0137395207258386
203,-0.0136811121365412
204,-0.0135547859634212
205,-0.0133540516644838
206,-0.0130718351441744
207,-0.0127022332713713
208,-0.0122514710987886
209,-0.0117351864706304
210,-0.0111715970785825
211,-0.0105780520125575
212,-0.00997150532161991
213,-0.00936744833666875
214,-0.00877917734803282
215,-0.00821806029638387
216,-0.00769399248082796
217,-0.00721562871791285
218,-0.00679036305305227
219,-0.00642424916622957
220,-0.0061222298665339
221,-0.00588858499316276
222,-0.0057266225085699
223,-0.00563873157536192
224,-0.00562665104682037
225,-0.00569163718178365
226,-0.00583450289465345
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,-0.00863099806432802
242,-0.00852570186696384
243,-0.00836682667255183
244,-0.0081478073678107
245,-0.00786402134042961
246,-0.00751218087607594
247,-0.0070873054632467
248,-0.00659163310414709
249,-0.0060405952364064
250,-0.00545067999504932
251,-0.00483492015328193
252,-0.00421244429301445
253,-0.00360067391303336
254,-0.00301316525557573
255,-0.00246053006520374
256,-0.00195291662548829
257,-0.0015006648165832
258,-0.00111189298328688
259,-0.000793411347632786
260,-0.000550296892313549
261,-0.000386319263126563
262,-0.000304215731824633
263,-0.000305858511643842
264,-0.000392390980870316
265,-0.000564340383868803
266,NA
267,-0.00116400455649987
268,-0.00159035464680732
269,-0.00209948992867565
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,-0.00319863059418563
282,-0.00296328644101659
283,-0.00267919200691352
284,-0.00234091726050109
285,-0.00194721401392463
286,-0.00149976470497248
287,-0.00100059339388883
288,-0.000454556145511286
289,0.000129510952856987
290,0.000740843288283176
291,0.00136620818713923
292,0.00198729424125373
293,0.00258729042827872
294,0.00315284076245931
295,0.00367404432641215
296,0.00413950060953075
297,0.00453786490035902
298,0.004860796361624
299,0.0051021931327754
300,0.00525760950037993
301,0.00532389196381919
302,0.00529893132476514
303,0.00518149412843775
304,0.00497110182732847
305,NA
306,0.00427274142060466
307,0.00378677303973832
308,0.0032117030888114
309,0.00254956971760882
310,0.00180271509175235
311,0.000973727790903679
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,0.0023942237976291
322,0.00277413558391853
323,0.00319699713855336
324,0.0036634729436654
325,0.00417159647300708
326,0.00471816772579775
327,0.00529892665083481
328,0.00590873307105929
329,0.00653858634235029
330,0.00717788608998676
331,0.0078126387032681
332,0.00842774142634556
333,0.00900847906148887
334,0.00954129164969648
335,0.0100136145726113
336,0.0104141947849114
337,0.0107339198983887
338,0.0109658640453457
339,0.0111053362769989
340,0.011148940285178
341,0.0110942485962068
342,0.0109397260501071
343,0.0106847011819076
344,0.0103293198289965
345,0.00987446600852262
346,0.00932165850421062
347,0.00867294252432518
348,0.00793079602765311
349,0.0070980582214055
350,0.00617786608422392
351,0.0051735794675266
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,0.00794352061950068
362,0.0084653187482328
363,0.00902287374084388
364,0.00961432655454957
365,0.010236059776163
366,0.0108831443648737
367,0.0115492670875212
368,0.0122262962962907
369,0.0129042798748371
370,0.0135719094602177
371,0.0142165706754425
372,0.0148249436941824
373,0.0153832477406061
374,0.0158773101131107
375,0.0162929210620442
376,0.0166195594866838
377,0.0168502852267353
378,0.0169795532651496
379,0.0170051074394189
380,0.0169247502773582
381,0.0167365903762146
382,0.0164394813572028
383,0.0160332792675248
384,0.0155188980868516
385,0.0148981893247672
386,0.0141737275942123
387,0.0133485835993185
388,0.0124261374849744
389,0.0114100442537711
390,0.0103043608409963
391,0.00911338233593555
392,0.00784139949189783
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,0.0132330805095843
402,0.0138833328612171
403,0.0145614370735937
404,0.0152640467849739
405,0.0159864506840457
406,0.0167224758108445
407,0.0174642969366203
408,0.018202106276581
409,0.0189242584696832
410,0.0196186770559012
411,0.0202726657613139
412,0.0208732999411592
413,0.021408260235852
414,0.0218628500965821
415,0.0222206183912671
416,0.0224720431799652
417,0.0226142042298031
418,0.0226440613838123
419,0.0225592985788235
420,0.0223576199352615
421,0.0220368026061898
422,0.0215954985253714
423,0.0210340606933222
424,0.0203547867308034
425,0.0195612919213339
426,0.0186578575019229
427,0.0176490582348449
428,0.0165395117232665
429,0.0153337826257723
430,0.0140369548005195
431,0.0126542596819366
432,0.0111907023803315
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,0.0180651533565264
442,0.0188223699315501
443,0.0195994968551062
444,0.0203920798285312
445,0.0211943743405374
446,0.0219992280472494
447,0.0227979475865855
448,0.0235801699915738
449,0.0243337413092846
450,0.0250449188123396
451,0.0257004011849593
452,0.0262870749037433
453,0.0267936076570287
454,0.0272069194012606
455,0.0275116258720548
456,0.0276979204144638
457,0.0277636420458687
458,0.0277055546795507
459,0.027521315462852
460,0.0272093532984485
461,0.0267671084170214
462,0.0261908245606339
463,0.0254789646029244
464,0.0246374683302824
465,0.0236727892362517
466,0.0225914933557978
467,0.0213999817564792
468,0.0201044172993689
469,0.0187107937545262
470,0.0172250107549629
471,0.0156528756389121
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,NA
479,NA
480,NA
481,0.0222764570574728
482,0.0231146827304988
483,0.0239652582475119
484,0.024822772163165
485,0.025680618614852
486,0.026530889718666
487,0.0273642744466661
488,0.0281699482331504
489,0.02893537879079
490,0.0296459786458817
491,0.0302866433965775
492,0.0308464889091861
493,0.0313154356099019
494,0.0316820816618323
495,0.0319346127594766
496,0.0320648693271514
497,0.0320660639846323
498,0.0319293965031293
499,0.0316545448651945
500,0.0312420763765897
501,0.0306900876352883
502,0.0299946908683671
503,0.0291507749062222
504,0.0281616629669918
505,0.0270390745032346
506,0.025792557233658
507,0.0244303069713984
508,0.0229598858896281
509,0.0213885024347664
510,0.0197231093839999
511,0.0179704217760226
512,NA
513,NA
514,NA
515,NA
516,NA
517,NA
518,NA
