,x
1,0.531617643967737
2,0.566008561598003
3,0.60039947922827
4,0.634790396858536
5,0.669181314488803
6,0.703572232119069
7,0.737963149749335
8,0.772354067379602
9,0.806744985009868
10,0.841135902640135
11,0.875526820270401
12,0.909917737900668
13,0.944308655530934
14,0.978699573161201
15,1.01309049079147
16,1.04748140842173
17,1.081872326052
18,1.11626324368227
19,1.15065416131253
20,1.1850450789428
21,1.21943599657307
22,1.25382691420333
23,1.2882178318336
24,1.32260874946387
25,1.35699966709413
26,1.3913905847244
27,1.42578150235466
28,1.46017241998493
29,1.4945633376152
30,1.52895425524546
31,1.56334517287573
32,1.597736090506
33,1.63212700813626
34,1.66651792576653
35,1.7009088433968
36,1.73529976102706
37,1.76969067865733
38,1.8040815962876
39,1.83847251391786
40,1.87286343154813
