,x
1,0.531617643967737
2,0.56487739318329
3,0.598137142398843
4,0.631396891614396
5,0.664656640829949
6,0.697916390045502
7,0.731176139261055
8,0.764435888476608
9,0.797695637692162
10,0.830955386907715
11,0.864215136123268
12,0.897474885338821
13,0.930734634554374
14,0.963994383769927
15,0.99725413298548
16,1.03051388220103
17,1.06377363141659
18,1.09703338063214
19,1.13029312984769
20,1.16355287906325
21,1.1968126282788
22,1.23007237749435
23,1.26333212670991
24,1.29659187592546
25,1.32985162514101
26,1.36311137435656
27,1.39637112357212
28,1.42963087278767
29,1.46289062200322
30,1.49615037121878
31,1.52941012043433
32,1.56266986964988
33,1.59592961886544
34,1.62918936808099
35,1.66244911729654
36,1.6957088665121
37,1.72896861572765
38,1.7622283649432
39,1.79548811415875
40,1.82874786337431
