"","model","smooth","type","by","est","se","Relative_completed_primary_series_rate_lag2","Relative_full_service_restaurant_lag2","Relative_Government_Response_Index_lag2","Relative_gym_lag2","Relative_office_of_physician_lag2","Relative_Past_12_week_infections_lag4","Relative_university_lag2","Relative_Weekly_testing_lag2"
"1","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0923249188880347,0.0296434775852168,0.647541396860044,NA,NA,NA,NA,NA,NA,NA
"2","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0918353189398049,0.0287635041210364,0.65556135703703,NA,NA,NA,NA,NA,NA,NA
"3","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0913455108968924,0.0278858161278249,0.663581317214015,NA,NA,NA,NA,NA,NA,NA
"4","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0908552364447958,0.0270106702606045,0.671601277391001,NA,NA,NA,NA,NA,NA,NA
"5","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0903642006888477,0.0261383559453253,0.679621237567987,NA,NA,NA,NA,NA,NA,NA
"6","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0898720137944064,0.0252692079442391,0.687641197744972,NA,NA,NA,NA,NA,NA,NA
"7","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0893781397952268,0.0244036182497679,0.695661157921958,NA,NA,NA,NA,NA,NA,NA
"8","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0888818839300846,0.0235420430240451,0.703681118098943,NA,NA,NA,NA,NA,NA,NA
"9","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.088382410281026,0.0226850061962075,0.711701078275929,NA,NA,NA,NA,NA,NA,NA
"10","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.087878566997493,0.0218331306722576,0.719721038452915,NA,NA,NA,NA,NA,NA,NA
"11","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0873685665681993,0.0209871885071641,0.7277409986299,NA,NA,NA,NA,NA,NA,NA
"12","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0868503589863805,0.0201480564184876,0.735760958806886,NA,NA,NA,NA,NA,NA,NA
"13","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0863217775410094,0.0193167065089281,0.743780918983871,NA,NA,NA,NA,NA,NA,NA
"14","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0857804570662507,0.0184942299889246,0.751800879160857,NA,NA,NA,NA,NA,NA,NA
"15","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.085223630108822,0.0176818773414011,0.759820839337843,NA,NA,NA,NA,NA,NA,NA
"16","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0846481043807033,0.0168810752311048,0.767840799514828,NA,NA,NA,NA,NA,NA,NA
"17","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.084050108691723,0.0160934604515717,0.775860759691814,NA,NA,NA,NA,NA,NA,NA
"18","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.083425214463525,0.0153209034197459,0.7838807198688,NA,NA,NA,NA,NA,NA,NA
"19","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0827684119160809,0.014565513050198,0.791900680045785,NA,NA,NA,NA,NA,NA,NA
"20","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0820741634355813,0.0138296450895397,0.799920640222771,NA,NA,NA,NA,NA,NA,NA
"21","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0813362635814537,0.0131159290638177,0.807940600399756,NA,NA,NA,NA,NA,NA,NA
"22","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0805479684719257,0.012427260238568,0.815960560576742,NA,NA,NA,NA,NA,NA,NA
"23","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0797021862243428,0.0117667814232499,0.823980520753728,NA,NA,NA,NA,NA,NA,NA
"24","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0787915839122383,0.01113786531406,0.832000480930713,NA,NA,NA,NA,NA,NA,NA
"25","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0778086505672982,0.0105440851109497,0.840020441107699,NA,NA,NA,NA,NA,NA,NA
"26","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0767457248103547,0.009989162341007,0.848040401284684,NA,NA,NA,NA,NA,NA,NA
