"","model","smooth","type","by","est","se","Relative_completed_primary_series_rate_lag2","Relative_full_service_restaurant_lag2","Relative_Government_Response_Index_lag2","Relative_gym_lag2","Relative_office_of_physician_lag2","Relative_Past_12_week_infections_lag4","Relative_university_lag2","Relative_Weekly_testing_lag2"
"1","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.188686056189949,0.053622672581569,0.686621073346457,NA,NA,NA,NA,NA,NA,NA
"2","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.185193866730383,0.0522878887538267,0.693327274354871,NA,NA,NA,NA,NA,NA,NA
"3","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.181701585233975,0.0509585632630958,0.700033475363284,NA,NA,NA,NA,NA,NA,NA
"4","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.17820902796525,0.049635244647346,0.706739676371698,NA,NA,NA,NA,NA,NA,NA
"5","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.174715951938241,0.0483185569017944,0.713445877380112,NA,NA,NA,NA,NA,NA,NA
"6","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.171222090367352,0.0470091791745268,0.720152078388525,NA,NA,NA,NA,NA,NA,NA
"7","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.16772714712553,0.0457078527064029,0.726858279396939,NA,NA,NA,NA,NA,NA,NA
"8","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.164230802626745,0.0444153809849516,0.733564480405353,NA,NA,NA,NA,NA,NA,NA
"9","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.160732695182358,0.0431326450341682,0.740270681413766,NA,NA,NA,NA,NA,NA,NA
"10","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.157232403656443,0.04186061698924,0.74697688242218,NA,NA,NA,NA,NA,NA,NA
"11","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.153729381522115,0.0406003995604382,0.753683083430594,NA,NA,NA,NA,NA,NA,NA
"12","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.15022293991226,0.0393532330571696,0.760389284439007,NA,NA,NA,NA,NA,NA,NA
"13","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.14671234049322,0.0381204419381371,0.767095485447421,NA,NA,NA,NA,NA,NA,NA
"14","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.143196790318932,0.0369034391075511,0.773801686455835,NA,NA,NA,NA,NA,NA,NA
"15","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.139675438004932,0.0357037286278591,0.780507887464248,NA,NA,NA,NA,NA,NA,NA
"16","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.136147374458068,0.0345229051892118,0.787214088472662,NA,NA,NA,NA,NA,NA,NA
"17","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.132611615315288,0.0333626609340813,0.793920289481076,NA,NA,NA,NA,NA,NA,NA
"18","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.129067100720913,0.0322247812304589,0.800626490489489,NA,NA,NA,NA,NA,NA,NA
"19","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.125512681640905,0.0311111437757184,0.807332691497903,NA,NA,NA,NA,NA,NA,NA
